"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3663 (1063996) [Titan Krios G2]","3663 (1063996) [Titan Krios G2]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves States"
"","Parameter:","Nominal Magnification","Column Valves States"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/13/2021","19:03:11.669","3638.589",""
"06/13/2021","19:03:56.381","2259.761",""
"06/13/2021","19:04:11.334","3638.589",""
"06/13/2021","19:04:42.726","2259.761",""
"06/13/2021","19:05:22.508","3638.589",""
"06/13/2021","19:06:05.534","2259.761",""
"06/13/2021","19:06:23.167","3638.589",""
"06/13/2021","19:06:45.730","2259.761",""
"06/13/2021","19:07:49.761","3638.589",""
"06/13/2021","19:08:31.577","2259.761",""
"06/13/2021","19:08:46.042","3638.589",""
"06/13/2021","19:09:21.765","2259.761",""
"06/13/2021","19:10:24.568","3638.589",""
"06/13/2021","19:11:04.957","2259.761",""
"06/13/2021","19:11:20.340","3638.589",""
"06/13/2021","19:11:50.401","2259.761",""
"06/13/2021","19:12:47.302","3638.589",""
"06/13/2021","19:13:30.397","2259.761",""
"06/13/2021","19:13:42.140","3638.589",""
"06/13/2021","19:14:20.131","2259.761",""
"06/13/2021","19:15:03.158","3638.589",""
"06/13/2021","19:15:44.241","2259.761",""
"06/13/2021","19:15:59.232","3638.589",""
"06/14/2021","06:12:10.653","","Open (2)"
"06/14/2021","07:15:59.233","3638.589",""
"06/14/2021","08:57:50.278","","Close (1)"
"06/14/2021","09:48:00.910","","Open (2)"
"06/14/2021","09:48:11.716","1527.128",""
"06/14/2021","09:56:42.110","","Close (1)"
"06/14/2021","09:56:46.166","","Open (2)"
"06/14/2021","09:57:56.304","102611.634",""
"06/14/2021","10:04:50.766","80742.017",""
"06/14/2021","10:11:45.180","102611.634",""
"06/14/2021","10:40:08.444","1527.128",""
"06/14/2021","10:40:35.490","938.645",""
"06/14/2021","10:42:47.500","3638.589",""
"06/14/2021","10:43:58.241","102611.634",""
"06/14/2021","11:15:53.384","-1",""
"06/14/2021","11:17:06.099","102611.634",""
"06/14/2021","11:17:16.003","","Close (1)"
