"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3663 (1063996) [Titan Krios G2]"
"","Subsystem:","Cryo Parameters"
"","Component:","Cryo Temperatures"
"","Parameter:","Holder Temperature"
"","Unit:","K"
"","Type:","Float"
"Date:","Time:"
"06/14/2021","00:17:39.499","80.94"
"06/14/2021","01:02:22.661","81.04"
"06/14/2021","08:39:27.265","80.94"
"06/14/2021","09:48:20.925","81.05"
"06/14/2021","16:15:48.440","80.94"
"06/15/2021","04:15:48.441","81"
"06/15/2021","08:22:09.636","80.89"
"06/15/2021","08:50:44.742","81"
"06/15/2021","16:41:26.686","80.89"
"06/15/2021","18:32:42.791","81"
"06/16/2021","00:18:48.028","80.89"
"06/16/2021","00:37:50.312","81"
"06/16/2021","08:01:07.551","80.89"
"06/16/2021","08:16:52.148","81"
"06/16/2021","15:45:10.861","80.89"
"06/16/2021","16:00:11.948","81"
"06/17/2021","04:00:11.949","81.05"
"06/17/2021","06:59:40.143","80.94"
"06/17/2021","07:13:47.642","81.04"
"06/17/2021","15:02:25.625","80.94"
"06/17/2021","15:22:44.958","81.04"
"06/17/2021","22:40:43.903","80.94"
"06/17/2021","22:51:00.256","81.04"
"06/18/2021","06:17:51.838","80.94"
"06/18/2021","06:26:51.177","81.04"
"06/18/2021","13:49:14.788","80.94"
"06/18/2021","14:01:21.684","81.04"
"06/18/2021","21:42:44.229","80.94"
"06/18/2021","22:07:51.621","81.05"
"06/19/2021","05:53:12.003","80.94"
"06/19/2021","08:04:03.911","81.04"
"06/19/2021","14:10:18.431","80.94"
"06/19/2021","19:16:21.899","81.04"
"06/19/2021","22:25:27.601","80.94"
"06/19/2021","22:58:13.913","81.04"
"06/20/2021","06:36:55.704","80.94"
"06/20/2021","08:31:12.680","81.05"
"06/20/2021","14:55:09.121","80.94"
"06/20/2021","15:44:16.904","81.04"
"06/20/2021","18:44:36.686","81.17"
"06/20/2021","18:44:50.098","81.39"
"06/20/2021","18:44:56.778","81.54"
"06/20/2021","18:45:03.478","81.71"
"06/20/2021","18:45:10.177","81.9"
"06/20/2021","18:45:16.883","82.09"
"06/20/2021","18:45:23.578","82.3"
"06/20/2021","18:45:30.277","82.53"
"06/20/2021","18:45:36.977","82.74"
"06/20/2021","18:45:43.676","82.99"
"06/20/2021","18:45:50.393","83.21"
"06/20/2021","18:45:57.075","83.43"
"06/20/2021","18:46:03.775","83.66"
"06/20/2021","18:46:10.473","83.88"
"06/20/2021","18:46:17.174","84.11"
"06/20/2021","18:46:23.877","84.31"
"06/20/2021","18:46:30.584","84.51"
"06/20/2021","18:46:37.271","84.72"
"06/20/2021","18:46:43.972","84.91"
"06/20/2021","18:46:50.671","85.1"
"06/20/2021","18:46:57.370","85.27"
"06/20/2021","18:47:04.076","85.43"
"06/20/2021","18:47:10.781","85.59"
"06/20/2021","18:47:17.470","85.73"
"06/20/2021","18:47:24.170","85.88"
"06/20/2021","18:47:30.869","86"
"06/20/2021","18:47:37.570","86.12"
"06/20/2021","18:47:44.288","86.23"
"06/20/2021","18:47:50.967","86.34"
"06/20/2021","18:48:04.366","86.52"
"06/20/2021","18:48:17.775","86.68"
"06/20/2021","18:48:31.163","86.81"
"06/20/2021","18:48:51.278","86.96"
"06/20/2021","18:49:11.362","87.08"
"06/20/2021","18:49:38.159","87.19"
"06/20/2021","18:50:11.656","87.29"
"06/20/2021","18:51:11.953","87.4"
"06/20/2021","18:52:39.046","87.51"
"06/20/2021","18:54:39.630","87.62"
"06/20/2021","18:56:43.581","87.73"
"06/20/2021","18:59:10.963","87.84"
"06/20/2021","19:01:21.595","87.95"
"06/20/2021","19:03:42.292","88.06"
"06/20/2021","19:06:06.333","88.17"
"06/20/2021","19:07:56.865","88.28"
"06/20/2021","19:09:54.116","88.39"
"06/20/2021","19:12:28.212","88.5"
"06/20/2021","19:15:02.300","88.61"
"06/20/2021","19:18:09.881","88.72"
"06/20/2021","19:25:25.341","88.61"
"06/20/2021","19:29:36.601","88.5"
"06/20/2021","19:30:30.180","88.38"
"06/20/2021","19:31:03.676","88.27"
"06/20/2021","19:31:30.464","88.14"
"06/20/2021","19:31:50.572","88.02"
"06/20/2021","19:32:24.060","88.14"
"06/20/2021","19:32:30.763","88.26"
"06/20/2021","19:32:37.494","88.43"
"06/20/2021","19:32:44.166","88.62"
"06/20/2021","19:32:50.877","88.84"
"06/20/2021","19:32:57.559","89.12"
"06/20/2021","19:33:04.264","89.4"
"06/20/2021","19:33:10.980","89.73"
"06/20/2021","19:33:17.658","90.05"
"06/20/2021","19:33:24.368","90.39"
"06/20/2021","19:33:31.064","90.78"
"06/20/2021","19:33:37.776","91.15"
"06/20/2021","19:33:44.465","91.57"
"06/20/2021","19:33:51.173","91.96"
"06/20/2021","19:33:57.861","92.37"
"06/20/2021","19:34:04.565","92.81"
"06/20/2021","19:34:11.255","93.23"
"06/20/2021","19:34:17.975","93.68"
"06/20/2021","19:34:24.654","94.11"
"06/20/2021","19:34:31.352","94.53"
"06/20/2021","19:34:38.056","94.99"
"06/20/2021","19:34:44.751","95.42"
"06/20/2021","19:34:51.487","95.89"
"06/20/2021","19:34:58.159","96.32"
"06/20/2021","19:35:04.850","96.76"
"06/20/2021","19:35:11.550","97.23"
"06/20/2021","19:35:18.249","97.67"
"06/20/2021","19:35:24.960","98.14"
"06/20/2021","19:35:31.648","98.58"
"06/20/2021","19:35:38.348","99.02"
"06/20/2021","19:35:45.069","99.5"
"06/20/2021","19:35:51.755","99.94"
"06/20/2021","19:35:58.454","100.42"
"06/20/2021","19:36:05.158","100.85"
"06/20/2021","19:36:11.846","101.28"
"06/20/2021","19:36:18.545","101.74"
"06/20/2021","19:36:25.245","102.17"
"06/20/2021","19:36:31.944","102.63"
"06/20/2021","19:36:38.646","103.06"
"06/20/2021","19:36:45.353","103.49"
"06/20/2021","19:36:52.042","103.95"
"06/20/2021","19:36:58.759","104.37"
"06/20/2021","19:37:05.441","104.83"
"06/20/2021","19:37:12.145","105.25"
"06/20/2021","19:37:18.841","105.68"
"06/20/2021","19:37:25.539","106.13"
"06/20/2021","19:37:32.240","106.55"
"06/20/2021","19:37:38.939","107.01"
"06/20/2021","19:37:45.639","107.42"
"06/20/2021","19:37:52.352","107.84"
"06/20/2021","19:37:59.049","108.29"
"06/20/2021","19:38:05.739","108.71"
"06/20/2021","19:38:12.445","109.15"
"06/20/2021","19:38:19.155","109.56"
"06/20/2021","19:38:25.853","109.97"
"06/20/2021","19:38:32.536","110.4"
"06/20/2021","19:38:39.237","110.8"
"06/20/2021","19:38:45.943","111.24"
"06/20/2021","19:38:52.634","111.64"
