"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3846 (1137337) [Titan Krios G3i (3.1)]","3846 (1137337) [Titan Krios G3i (3.1)]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves States"
"","Parameter:","Nominal Magnification","Column Valves States"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/13/2021","19:14:11.358","2259.761",""
"06/13/2021","19:14:35.476","80742.017",""
"06/13/2021","19:22:49.932","938.645",""
"06/13/2021","19:23:39.140","2259.761",""
"06/13/2021","19:24:16.949","938.645",""
"06/13/2021","19:24:33.713","2259.761",""
"06/13/2021","19:25:04.936","80742.017",""
"06/13/2021","19:26:33.685","2259.761",""
"06/13/2021","19:26:53.273","80742.017",""
"06/13/2021","19:39:02.213","938.645",""
"06/13/2021","19:39:22.296","2259.761",""
"06/13/2021","19:39:48.544","80742.017",""
"06/13/2021","19:52:12.415","2259.761",""
"06/13/2021","19:52:43.432","80742.017",""
"06/13/2021","19:54:12.033","2259.761",""
"06/13/2021","19:54:31.487","80742.017",""
"06/13/2021","19:59:47.087","938.645",""
"06/13/2021","20:00:07.050","2259.761",""
"06/13/2021","20:00:29.006","80742.017",""
"06/13/2021","20:11:41.072","2259.761",""
"06/13/2021","20:12:12.436","80742.017",""
"06/13/2021","20:13:41.075","2259.761",""
"06/13/2021","20:14:00.893","80742.017",""
"06/13/2021","20:25:13.770","938.645",""
"06/13/2021","20:25:32.292","2259.761",""
"06/13/2021","20:25:57.942","80742.017",""
"06/13/2021","20:39:17.745","2259.761",""
"06/13/2021","20:39:46.375","80742.017",""
"06/13/2021","20:41:16.794","2259.761",""
"06/13/2021","20:41:32.972","80742.017",""
"06/13/2021","20:50:52.642","938.645",""
"06/13/2021","20:51:13.155","2259.761",""
"06/13/2021","20:51:36.234","80742.017",""
"06/13/2021","21:05:39.689","2259.761",""
"06/13/2021","21:06:10.399","80742.017",""
"06/13/2021","21:07:37.642","2259.761",""
"06/13/2021","21:07:57.295","80742.017",""
"06/13/2021","21:10:01.066","938.645",""
"06/13/2021","21:10:54.610","2259.761",""
"06/13/2021","21:11:32.435","938.645",""
