"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3846 (1137337) [Titan Krios G3i (3.1)]"
"","Subsystem:","Cryo Parameters"
"","Component:","Cryo Temperatures"
"","Parameter:","Holder Temperature"
"","Unit:","K"
"","Type:","Float"
"Date:","Time:"
"06/13/2021","19:31:45.455","80.24"
"06/14/2021","07:31:45.456","80.21"
"06/14/2021","19:31:45.456","80.2"
"06/15/2021","05:58:19.766","80.1"
"06/15/2021","12:38:53.957","80.2"
"06/16/2021","00:38:53.958","80.21"
"06/16/2021","03:46:23.530","80.1"
"06/16/2021","05:52:27.203","80.2"
"06/16/2021","14:45:36.979","80.31"
"06/16/2021","14:49:01.306","80.21"
"06/16/2021","23:30:34.346","80.31"
"06/16/2021","23:35:59.255","80.2"
"06/17/2021","08:15:48.457","80.31"
"06/17/2021","16:15:15.777","80.21"
"06/17/2021","16:49:09.052","80.31"
"06/18/2021","04:49:09.053","80.3"
"06/18/2021","05:26:14.556","80.19"
"06/18/2021","08:17:28.135","80.29"
"06/18/2021","18:18:54.635","80.19"
"06/18/2021","18:26:46.952","80.29"
"06/19/2021","01:55:55.361","80.19"
"06/19/2021","02:54:32.562","80.29"
"06/19/2021","08:15:26.747","80.19"
"06/19/2021","11:24:15.479","80.29"
"06/19/2021","11:26:49.546","80.19"
"06/19/2021","19:53:48.302","80.29"
"06/19/2021","19:59:09.878","80.18"
"06/20/2021","04:19:36.703","80.29"
"06/20/2021","11:42:06.539","80.19"
"06/20/2021","12:55:24.731","80.29"
"06/20/2021","13:00:42.956","80.19"
"06/20/2021","15:59:45.483","80.29"
"06/20/2021","15:59:58.882","80.47"
"06/20/2021","16:00:05.587","80.61"
"06/20/2021","16:00:12.279","80.78"
"06/20/2021","16:00:18.981","80.98"
"06/20/2021","16:00:25.687","81.22"
"06/20/2021","16:00:32.380","81.47"
"06/20/2021","16:00:39.079","81.75"
"06/20/2021","16:00:45.782","82.03"
"06/20/2021","16:00:52.477","82.32"
"06/20/2021","16:00:59.176","82.64"
"06/20/2021","16:01:05.878","82.95"
"06/20/2021","16:01:12.575","83.29"
"06/20/2021","16:01:19.274","83.6"
"06/20/2021","16:01:25.976","83.91"
"06/20/2021","16:01:32.674","84.26"
"06/20/2021","16:01:39.391","84.57"
"06/20/2021","16:01:46.074","84.87"
"06/20/2021","16:01:52.778","85.2"
"06/20/2021","16:01:59.472","85.5"
"06/20/2021","16:02:06.186","85.82"
"06/20/2021","16:02:12.876","86.11"
"06/20/2021","16:02:19.569","86.4"
"06/20/2021","16:02:26.275","86.69"
"06/20/2021","16:02:32.968","86.96"
"06/20/2021","16:02:39.674","87.24"
"06/20/2021","16:02:46.367","87.49"
"06/20/2021","16:02:53.076","87.73"
"06/20/2021","16:02:59.772","87.98"
"06/20/2021","16:03:06.466","88.21"
"06/20/2021","16:03:13.165","88.45"
"06/20/2021","16:03:19.888","88.66"
"06/20/2021","16:03:26.563","88.87"
"06/20/2021","16:03:33.263","89.08"
"06/20/2021","16:03:39.976","89.27"
"06/20/2021","16:03:46.667","89.47"
"06/20/2021","16:03:53.361","89.65"
"06/20/2021","16:04:00.060","89.82"
"06/20/2021","16:04:06.766","90"
"06/20/2021","16:04:13.466","90.16"
"06/20/2021","16:04:20.158","90.33"
"06/20/2021","16:04:26.861","90.48"
"06/20/2021","16:04:33.568","90.63"
"06/20/2021","16:04:40.257","90.78"
"06/20/2021","16:04:46.955","90.92"
"06/20/2021","16:04:53.655","91.06"
"06/20/2021","16:05:00.355","91.18"
"06/20/2021","16:05:07.055","91.3"
"06/20/2021","16:05:13.754","91.43"
"06/20/2021","16:05:20.464","91.55"
"06/20/2021","16:05:27.164","91.67"
"06/20/2021","16:05:40.555","91.87"
"06/20/2021","16:05:47.251","91.98"
"06/20/2021","16:06:00.652","92.18"
"06/20/2021","16:06:14.062","92.35"
"06/20/2021","16:06:27.447","92.52"
"06/20/2021","16:06:40.874","92.68"
"06/20/2021","16:06:54.244","92.83"
"06/20/2021","16:07:07.643","92.96"
"06/20/2021","16:07:21.054","93.09"
"06/20/2021","16:07:34.446","93.22"
"06/20/2021","16:07:47.839","93.33"
"06/20/2021","16:08:01.238","93.44"
"06/20/2021","16:08:21.336","93.58"
"06/20/2021","16:08:41.443","93.71"
"06/20/2021","16:09:01.532","93.82"
"06/20/2021","16:09:21.632","93.92"
"06/20/2021","16:09:48.437","94.03"
"06/20/2021","16:10:21.925","94.14"
"06/20/2021","16:11:02.125","94.25"
"06/20/2021","16:12:09.121","94.36"
"06/20/2021","16:13:52.954","94.47"
"06/20/2021","16:16:23.693","94.58"
"06/20/2021","16:19:17.875","94.68"
"06/20/2021","16:30:21.116","94.79"
"06/20/2021","16:33:25.359","94.9"
"06/20/2021","16:38:36.876","95.01"
"06/20/2021","16:41:31.058","95.12"
"06/20/2021","16:43:28.298","95.23"
"06/20/2021","16:44:52.040","95.34"
"06/20/2021","16:45:59.036","95.45"
"06/20/2021","16:46:52.635","95.56"
"06/20/2021","16:47:39.530","95.67"
"06/20/2021","16:48:26.430","95.78"
"06/20/2021","16:49:13.328","95.9"
"06/20/2021","16:49:33.424","96.01"
"06/20/2021","16:49:46.833","96.23"
"06/20/2021","16:49:53.526","96.39"
"06/20/2021","16:50:00.217","96.57"
"06/20/2021","16:50:06.932","96.8"
"06/20/2021","16:50:13.628","97.03"
"06/20/2021","16:50:20.329","97.31"
"06/20/2021","16:50:27.024","97.58"
"06/20/2021","16:50:33.721","97.88"
"06/20/2021","16:50:40.419","98.22"
"06/20/2021","16:50:47.119","98.55"
"06/20/2021","16:50:53.825","98.92"
"06/20/2021","16:51:00.523","99.27"
"06/20/2021","16:51:07.215","99.63"
"06/20/2021","16:51:13.912","100.04"
"06/20/2021","16:51:20.618","100.42"
"06/20/2021","16:51:27.312","100.8"
"06/20/2021","16:51:34.012","101.22"
"06/20/2021","16:51:40.714","101.61"
"06/20/2021","16:51:47.411","102.03"
"06/20/2021","16:51:54.109","102.44"
"06/20/2021","16:52:00.810","102.84"
"06/20/2021","16:52:07.507","103.28"
"06/20/2021","16:52:14.212","103.69"
"06/20/2021","16:52:20.907","104.14"
"06/20/2021","16:52:27.612","104.55"
"06/20/2021","16:52:34.308","104.97"
"06/20/2021","16:52:41.004","105.42"
"06/20/2021","16:52:47.709","105.84"
"06/20/2021","16:52:54.406","106.3"
"06/20/2021","16:53:01.102","106.72"
"06/20/2021","16:53:07.802","107.14"
"06/20/2021","16:53:14.501","107.6"
"06/20/2021","16:53:21.201","108.02"
"06/20/2021","16:53:27.900","108.48"
"06/20/2021","16:53:34.601","108.9"
