"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]"
"","Subsystem:","Main Vacuum - States"
"","Component:","Column Valves States"
"","Parameter:","Column Valves States"
"","Unit:",""
"","Type:","Int"
"Date:","Time:"
"06/13/2021","10:39:11.764","Open (2)"
"06/13/2021","11:49:15.002","Unknown (0)"
"06/13/2021","11:49:15.943","Close (1)"
"06/13/2021","11:54:34.291","Unknown (0)"
"06/13/2021","11:54:34.948","Open (2)"
"06/13/2021","12:02:39.014","Unknown (0)"
"06/13/2021","12:02:39.954","Close (1)"
"06/13/2021","12:05:59.491","Unknown (0)"
"06/13/2021","12:05:59.970","Open (2)"
"06/14/2021","00:05:59.970","Open (2)"
"06/14/2021","12:05:59.971","Open (2)"
"06/15/2021","00:05:59.971","Open (2)"
"06/15/2021","12:05:59.972","Open (2)"
"06/15/2021","15:07:33.644","Unknown (0)"
"06/15/2021","15:07:34.853","Close (1)"
"06/15/2021","15:12:53.672","Unknown (0)"
"06/15/2021","15:12:53.861","Open (2)"
"06/15/2021","15:21:45.223","Unknown (0)"
"06/15/2021","15:21:46.365","Close (1)"
"06/15/2021","15:23:36.280","Unknown (0)"
"06/15/2021","15:23:36.870","Open (2)"
"06/15/2021","16:45:50.005","Unknown (0)"
"06/15/2021","16:45:50.932","Close (1)"
"06/15/2021","17:02:28.308","Unknown (0)"
"06/15/2021","17:02:28.945","Open (2)"
"06/16/2021","05:02:28.946","Open (2)"
"06/16/2021","17:02:28.946","Open (2)"
"06/17/2021","05:02:28.947","Open (2)"
"06/17/2021","17:02:28.947","Open (2)"
"06/18/2021","05:02:28.948","Open (2)"
"06/18/2021","16:28:02.123","Unknown (0)"
"06/18/2021","16:28:03.272","Close (1)"
"06/19/2021","04:28:03.272","Close (1)"
"06/19/2021","16:28:03.273","Close (1)"
"06/20/2021","04:28:03.274","Close (1)"
"06/20/2021","16:28:03.274","Close (1)"
"06/20/2021","18:37:54.104","Unknown (0)"
"06/21/2021","06:37:54.104","Unknown (0)"
"06/21/2021","13:21:51.087","Unknown (0)"
"06/21/2021","13:23:40.851","Unknown (0)"
"06/21/2021","13:29:48.976","Unknown (0)"
"06/21/2021","14:06:06.316","Unknown (0)"
"06/21/2021","14:33:24.346","Unknown (0)"
"06/21/2021","14:40:56.774","Unknown (0)"
"06/21/2021","14:49:09.666","Unknown (0)"
"06/21/2021","15:03:38.846","Close (1)"
"06/21/2021","15:04:19.107","Unknown (0)"
"06/21/2021","15:04:29.119","Close (1)"
"06/21/2021","15:42:09.525","Unknown (0)"
"06/21/2021","15:42:11.879","Open (2)"
"06/21/2021","15:42:22.737","Unknown (0)"
"06/21/2021","15:42:23.875","Close (1)"
"06/22/2021","03:42:23.875","Close (1)"
"06/22/2021","09:45:14.282","Unknown (0)"
"06/22/2021","09:45:14.794","Open (2)"
"06/22/2021","10:19:50.716","Unknown (0)"
"06/22/2021","10:19:51.820","Close (1)"
"06/22/2021","10:19:52.329","Unknown (0)"
"06/22/2021","10:19:52.824","Open (2)"
"06/22/2021","10:30:41.848","Unknown (0)"
"06/22/2021","10:30:42.830","Close (1)"
"06/22/2021","11:53:03.505","Unknown (0)"
"06/22/2021","11:53:03.901","Open (2)"
"06/22/2021","11:53:31.095","Unknown (0)"
"06/22/2021","11:53:31.900","Close (1)"
"06/22/2021","11:53:37.289","Unknown (0)"
"06/22/2021","11:53:37.900","Open (2)"
"06/22/2021","11:53:41.547","Unknown (0)"
"06/22/2021","11:53:42.399","Close (1)"
"06/22/2021","11:55:50.369","Unknown (0)"
"06/22/2021","11:55:50.903","Open (2)"
"06/22/2021","12:00:34.545","Unknown (0)"
"06/22/2021","12:00:35.406","Close (1)"
"06/22/2021","12:00:42.225","Unknown (0)"
"06/22/2021","12:00:43.025","Close (1)"
"06/22/2021","12:15:06.387","Unknown (0)"
"06/22/2021","12:20:07.425","Close (1)"
"06/22/2021","12:26:40.866","Close (1)"
"06/22/2021","12:27:49.702","Unknown (0)"
"06/22/2021","12:28:32.428","Close (1)"
