"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]","3889 (1156255) [Krios G4]"
"","Subsystem:","Optics","Main Vacuum - States"
"","Component:","Magnifications","Column Valves States"
"","Parameter:","Nominal Magnification","Column Valves States"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/13/2021","07:07:20.749","1678.57",""
"06/13/2021","07:08:11.379","2845.928",""
"06/13/2021","07:08:48.606","657.216",""
"06/13/2021","07:09:02.582","2845.928",""
"06/13/2021","07:09:20.616","96315.789",""
"06/13/2021","07:13:46.745","2845.928",""
"06/13/2021","07:14:04.400","96315.789",""
"06/13/2021","07:19:50.974","2845.928",""
"06/13/2021","07:20:12.593","96315.789",""
"06/13/2021","07:25:39.468","2845.928",""
"06/13/2021","07:26:00.716","96315.789",""
"06/13/2021","07:27:11.711","2845.928",""
"06/13/2021","07:27:32.385","96315.789",""
"06/13/2021","07:32:57.755","2845.928",""
"06/13/2021","07:34:00.481","96315.789",""
"06/13/2021","07:39:48.689","2845.928",""
"06/13/2021","07:40:09.446","96315.789",""
"06/13/2021","07:43:37.104","2845.928",""
"06/13/2021","07:43:54.461","96315.789",""
"06/13/2021","07:46:22.896","2845.928",""
"06/13/2021","07:46:39.598","96315.789",""
"06/13/2021","07:51:06.857","2845.928",""
"06/13/2021","07:51:27.408","96315.789",""
"06/13/2021","07:56:33.830","2845.928",""
"06/13/2021","07:56:54.913","96315.789",""
"06/13/2021","08:02:21.633","2845.928",""
"06/13/2021","08:02:42.630","96315.789",""
"06/13/2021","08:06:10.773","2845.928",""
"06/13/2021","08:07:08.561","96315.789",""
"06/13/2021","08:11:54.678","2845.928",""
"06/13/2021","08:12:12.295","96315.789",""
"06/13/2021","08:17:44.908","657.216",""
"06/13/2021","08:18:07.285","1678.57",""
"06/13/2021","08:18:56.931","2845.928",""
"06/13/2021","08:19:33.387","657.216",""
"06/13/2021","08:19:47.339","2845.928",""
