"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","3889 (1156255) [Krios G4]"
"","Subsystem:","Cryo Parameters"
"","Component:","Cryo Temperatures"
"","Parameter:","Holder Temperature"
"","Unit:","K"
"","Type:","Float"
"Date:","Time:"
"06/13/2021","11:53:50.535","87.93"
"06/13/2021","11:54:50.826","87.83"
"06/13/2021","12:28:24.037","87.93"
"06/13/2021","12:32:18.503","87.82"
"06/13/2021","12:44:42.151","87.71"
"06/13/2021","20:46:47.194","87.81"
"06/14/2021","08:46:47.194","87.83"
"06/14/2021","13:34:50.158","87.72"
"06/14/2021","15:04:46.601","87.83"
"06/14/2021","21:55:57.462","87.72"
"06/14/2021","22:23:52.329","87.83"
"06/15/2021","06:13:00.248","87.72"
"06/15/2021","07:17:15.799","87.85"
"06/15/2021","13:23:16.748","87.74"
"06/15/2021","14:28:25.912","87.84"
"06/15/2021","14:32:13.690","87.74"
"06/15/2021","15:10:14.872","87.85"
"06/15/2021","15:48:49.545","87.74"
"06/15/2021","22:20:34.679","87.63"
"06/15/2021","22:35:49.164","87.73"
"06/16/2021","06:37:07.311","87.84"
"06/16/2021","06:40:45.046","87.74"
"06/16/2021","07:50:32.231","87.85"
"06/16/2021","14:15:55.496","87.74"
"06/16/2021","15:00:25.245","87.84"
"06/16/2021","15:04:16.377","87.74"
"06/16/2021","15:40:33.722","87.84"
"06/16/2021","17:32:53.406","87.74"
"06/16/2021","23:11:29.622","87.84"
"06/16/2021","23:17:38.095","87.74"
"06/17/2021","00:23:17.393","87.88"
"06/17/2021","04:57:54.805","87.77"
"06/17/2021","07:25:34.878","87.87"
"06/17/2021","07:28:49.157","87.77"
"06/17/2021","15:42:00.794","87.87"
"06/17/2021","15:45:11.727","87.77"
"06/17/2021","17:00:30.548","87.87"
"06/18/2021","00:01:47.725","87.77"
"06/18/2021","00:24:27.725","87.87"
"06/18/2021","06:48:33.980","87.77"
"06/18/2021","08:06:23.553","87.87"
"06/18/2021","08:09:54.563","87.77"
"06/18/2021","09:09:18.703","87.87"
"06/18/2021","13:16:58.179","87.77"
"06/18/2021","16:18:54.993","87.87"
"06/18/2021","16:21:59.227","87.77"
"06/18/2021","16:30:58.553","87.87"
"06/18/2021","23:37:17.213","87.77"
"06/19/2021","01:24:01.941","87.87"
"06/19/2021","01:27:09.519","87.77"
"06/19/2021","10:47:00.778","87.87"
"06/19/2021","10:49:31.516","87.77"
"06/19/2021","12:44:35.363","87.66"
"06/19/2021","13:06:11.712","87.76"
"06/19/2021","20:07:42.304","87.87"
"06/19/2021","20:10:39.857","87.77"
"06/20/2021","05:29:37.492","87.87"
"06/20/2021","05:32:38.373","87.77"
"06/20/2021","14:51:05.887","87.87"
"06/20/2021","14:53:26.574","87.77"
"06/20/2021","18:42:13.809","87.88"
"06/20/2021","18:42:27.209","88.03"
"06/20/2021","18:42:33.913","88.14"
"06/20/2021","18:42:40.607","88.29"
"06/20/2021","18:42:47.307","88.44"
"06/20/2021","18:42:54.007","88.63"
"06/20/2021","18:43:00.706","88.83"
"06/20/2021","18:43:07.405","89.05"
"06/20/2021","18:43:14.114","89.29"
"06/20/2021","18:43:20.805","89.54"
"06/20/2021","18:43:27.505","89.82"
"06/20/2021","18:43:34.204","90.08"
"06/20/2021","18:43:40.903","90.35"
"06/20/2021","18:43:47.604","90.64"
"06/20/2021","18:43:54.302","90.92"
"06/20/2021","18:44:01.002","91.22"
"06/20/2021","18:44:07.701","91.49"
"06/20/2021","18:44:14.400","91.77"
"06/20/2021","18:44:21.100","92.06"
"06/20/2021","18:44:27.799","92.33"
"06/20/2021","18:44:34.499","92.61"
"06/20/2021","18:44:41.198","92.86"
"06/20/2021","18:44:47.898","93.11"
"06/20/2021","18:44:54.598","93.37"
"06/20/2021","18:45:01.297","93.61"
"06/20/2021","18:45:07.996","93.83"
"06/20/2021","18:45:14.704","94.07"
"06/20/2021","18:45:21.403","94.28"
"06/20/2021","18:45:28.097","94.5"
"06/20/2021","18:45:34.793","94.69"
"06/20/2021","18:45:41.493","94.87"
"06/20/2021","18:45:48.193","95.07"
"06/20/2021","18:45:54.892","95.24"
"06/20/2021","18:46:01.591","95.42"
"06/20/2021","18:46:08.295","95.58"
"06/20/2021","18:46:14.995","95.73"
"06/20/2021","18:46:21.690","95.89"
"06/20/2021","18:46:28.390","96.03"
"06/20/2021","18:46:35.090","96.17"
"06/20/2021","18:46:41.788","96.3"
"06/20/2021","18:46:48.488","96.43"
"06/20/2021","18:46:55.187","96.55"
"06/20/2021","18:47:01.886","96.66"
"06/20/2021","18:47:08.587","96.78"
"06/20/2021","18:47:21.985","96.98"
"06/20/2021","18:47:35.384","97.17"
"06/20/2021","18:47:48.783","97.34"
"06/20/2021","18:48:02.181","97.5"
"06/20/2021","18:48:15.580","97.64"
"06/20/2021","18:48:28.979","97.76"
"06/20/2021","18:48:42.379","97.88"
"06/20/2021","18:48:55.782","97.98"
"06/20/2021","18:49:15.875","98.12"
"06/20/2021","18:49:35.974","98.24"
"06/20/2021","18:49:56.072","98.34"
"06/20/2021","18:50:22.869","98.45"
"06/20/2021","18:51:03.067","98.57"
"06/20/2021","18:51:56.664","98.68"
"06/20/2021","18:53:57.254","98.79"
"06/20/2021","18:57:18.235","98.9"
"06/20/2021","19:00:25.820","99.01"
"06/20/2021","19:06:30.940","99.12"
"06/20/2021","19:14:43.349","99.23"
"06/20/2021","19:21:01.872","99.34"
"06/20/2021","19:23:56.058","99.45"
"06/20/2021","19:26:03.348","99.56"
"06/20/2021","19:27:37.143","99.67"
"06/20/2021","19:28:37.436","99.78"
"06/20/2021","19:29:24.331","99.9"
"06/20/2021","19:29:44.430","100.03"
"06/20/2021","19:29:57.829","100.19"
"06/20/2021","19:30:04.535","100.3"
"06/20/2021","19:30:11.242","100.44"
"06/20/2021","19:30:17.927","100.59"
"06/20/2021","19:30:24.626","100.76"
"06/20/2021","19:30:31.325","100.97"
"06/20/2021","19:30:38.025","101.19"
"06/20/2021","19:30:44.724","101.45"
"06/20/2021","19:30:51.424","101.71"
"06/20/2021","19:30:58.125","101.98"
"06/20/2021","19:31:04.823","102.29"
"06/20/2021","19:31:11.529","102.6"
"06/20/2021","19:31:18.222","102.94"
"06/20/2021","19:31:24.921","103.27"
"06/20/2021","19:31:31.629","103.61"
"06/20/2021","19:31:38.320","103.99"
"06/20/2021","19:31:45.020","104.35"
"06/20/2021","19:31:51.719","104.75"
"06/20/2021","19:31:58.418","105.12"
"06/20/2021","19:32:05.117","105.5"
"06/20/2021","19:32:11.823","105.92"
"06/20/2021","19:32:18.517","106.31"
"06/20/2021","19:32:25.221","106.7"
