"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]"
"","Subsystem:","Main Vacuum"
"","Component:","Column Valves"
"","Parameter:","Column Valves State"
"","Unit:",""
"","Type:","Int"
"Date:","Time:"
"06/13/2021","19:45:11.862","Close (1)"
"06/13/2021","20:45:11.862","Close (1)"
"06/13/2021","21:45:11.863","Close (1)"
"06/13/2021","22:45:11.864","Close (1)"
"06/13/2021","23:19:15.914","Unknown (0)"
"06/14/2021","00:19:15.915","Unknown (0)"
"06/14/2021","01:19:15.916","Unknown (0)"
"06/14/2021","02:19:15.917","Unknown (0)"
"06/14/2021","03:19:15.918","Unknown (0)"
"06/14/2021","04:19:15.919","Unknown (0)"
"06/14/2021","05:19:15.920","Unknown (0)"
"06/14/2021","06:19:15.921","Unknown (0)"
"06/14/2021","06:32:07.175","Close (1)"
"06/14/2021","07:32:07.176","Close (1)"
"06/14/2021","08:32:07.176","Close (1)"
"06/14/2021","09:32:07.177","Close (1)"
"06/14/2021","10:20:43.426","Unknown (0)"
"06/14/2021","10:20:43.636","Open (2)"
"06/14/2021","10:38:43.997","Unknown (0)"
"06/14/2021","10:38:45.133","Close (1)"
"06/14/2021","10:42:46.451","Unknown (0)"
"06/14/2021","10:42:47.136","Open (2)"
"06/14/2021","11:21:11.992","Unknown (0)"
"06/14/2021","11:21:13.137","Close (1)"
"06/14/2021","11:27:17.277","Unknown (0)"
"06/14/2021","11:27:17.643","Open (2)"
"06/14/2021","11:38:08.304","Unknown (0)"
"06/14/2021","11:38:09.139","Close (1)"
"06/14/2021","11:44:21.159","Unknown (0)"
"06/14/2021","11:44:21.644","Open (2)"
"06/14/2021","11:57:15.027","Unknown (0)"
"06/14/2021","11:57:16.141","Close (1)"
"06/14/2021","12:02:23.086","Unknown (0)"
"06/14/2021","12:02:23.643","Open (2)"
"06/14/2021","12:58:55.114","Unknown (0)"
"06/14/2021","12:58:56.143","Close (1)"
"06/14/2021","13:03:29.713","Unknown (0)"
"06/14/2021","13:03:30.148","Open (2)"
"06/14/2021","13:59:03.950","Unknown (0)"
"06/14/2021","13:59:05.148","Close (1)"
"06/14/2021","14:04:02.324","Unknown (0)"
"06/14/2021","14:04:02.654","Open (2)"
