"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]","9953149 (1139918) [Glacios]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves"
"","Parameter:","Nominal Magnification","Column Valves State"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/11/2021","19:17:42.794","","Close (1)"
"06/11/2021","20:17:42.795","","Close (1)"
"06/11/2021","21:17:42.795","","Close (1)"
"06/11/2021","22:12:38.767","","Unknown (0)"
"06/11/2021","22:12:39.318","","Open (2)"
"06/11/2021","22:12:48.525","149474.269",""
"06/11/2021","22:12:52.045","-1",""
"06/11/2021","22:13:17.803","149474.269",""
"06/11/2021","22:13:18.004","5274.637",""
"06/11/2021","22:14:02.500","1578.689",""
"06/11/2021","22:14:49.242","5274.637",""
"06/11/2021","22:16:07.556","208.904",""
"06/11/2021","22:31:14.747","1578.689",""
"06/11/2021","22:32:20.424","149474.269",""
"06/11/2021","22:32:24.010","-1",""
"06/11/2021","22:34:07.459","149474.269",""
"06/11/2021","22:34:11.067","1578.689",""
"06/11/2021","22:35:52.261","5274.637",""
"06/11/2021","22:38:15.101","149474.269",""
"06/11/2021","22:38:15.241","-1",""
"06/11/2021","22:39:37.964","149474.269",""
"06/11/2021","22:39:38.203","5274.637",""
"06/11/2021","22:40:05.425","149474.269",""
"06/11/2021","22:40:05.562","-1",""
"06/11/2021","22:44:30.645","149474.269",""
"06/11/2021","22:44:34.216","1578.689",""
"06/11/2021","22:46:13.892","5274.637",""
"06/11/2021","22:46:57.954","1578.689",""
"06/11/2021","22:47:18.943","5274.637",""
"06/11/2021","22:48:33.445","149474.269",""
"06/11/2021","22:48:33.599","-1",""
"06/11/2021","22:52:20.789","149474.269",""
"06/11/2021","22:52:24.403","1578.689",""
"06/11/2021","22:54:31.030","5274.637",""
"06/11/2021","22:55:54.760","1578.689",""
"06/11/2021","22:56:15.369","5274.637",""
"06/11/2021","22:57:36.013","149474.269",""
"06/11/2021","22:57:36.159","-1",""
"06/11/2021","22:59:37.473","149474.269",""
"06/11/2021","22:59:37.694","5274.637",""
"06/11/2021","23:00:04.997","149474.269",""
"06/11/2021","23:00:05.151","-1",""
"06/11/2021","23:03:36.478","149474.269",""
"06/11/2021","23:03:40.089","1578.689",""
"06/11/2021","23:04:39.873","5274.637",""
"06/11/2021","23:06:04.004","1578.689",""
"06/11/2021","23:06:24.911","5274.637",""
"06/11/2021","23:07:32.379","149474.269",""
"06/11/2021","23:07:32.535","-1",""
"06/11/2021","23:09:28.889","149474.269",""
"06/11/2021","23:09:29.105","5274.637",""
"06/11/2021","23:09:56.269","149474.269",""
"06/11/2021","23:09:56.416","-1",""
"06/11/2021","23:12:39.319","","Open (2)"
"06/11/2021","23:15:24.381","149474.269",""
"06/11/2021","23:15:24.591","5274.637",""
"06/11/2021","23:16:26.410","149474.269",""
"06/11/2021","23:16:26.573","-1",""
"06/11/2021","23:18:52.623","149474.269",""
"06/11/2021","23:18:56.231","1578.689",""
"06/11/2021","23:21:38.657","5274.637",""
"06/11/2021","23:23:03.263","1578.689",""
"06/11/2021","23:23:23.955","5274.637",""
"06/11/2021","23:24:43.639","149474.269",""
"06/11/2021","23:24:43.776","-1",""
"06/11/2021","23:26:45.403","149474.269",""
"06/11/2021","23:26:45.616","5274.637",""
"06/11/2021","23:27:13.128","149474.269",""
"06/11/2021","23:27:13.264","-1",""
"06/11/2021","23:29:23.085","149474.269",""
"06/11/2021","23:29:26.696","1578.689",""
"06/11/2021","23:36:31.087","5274.637",""
"06/11/2021","23:37:55.253","1578.689",""
"06/11/2021","23:38:30.411","5274.637",""
"06/11/2021","23:38:51.548","1578.689",""
"06/11/2021","23:39:17.136","5274.637",""
"06/11/2021","23:40:42.525","1578.689",""
"06/11/2021","23:41:17.445","5274.637",""
"06/11/2021","23:42:23.165","149474.269",""
"06/11/2021","23:42:23.303","-1",""
"06/11/2021","23:44:58.624","149474.269",""
"06/11/2021","23:44:58.810","5274.637",""
"06/11/2021","23:45:10.625","","Unknown (0)"
"06/11/2021","23:45:11.822","","Close (1)"
"06/12/2021","00:45:11.823","","Close (1)"
"06/12/2021","01:45:11.823","","Close (1)"
"06/12/2021","02:45:11.824","","Close (1)"
"06/12/2021","03:45:11.825","","Close (1)"
"06/12/2021","04:45:11.826","","Close (1)"
"06/12/2021","05:45:11.827","","Close (1)"
"06/12/2021","06:45:11.828","","Close (1)"
"06/12/2021","07:45:11.829","","Close (1)"
"06/12/2021","08:45:11.830","","Close (1)"
"06/12/2021","09:45:11.831","","Close (1)"
"06/12/2021","10:45:11.832","","Close (1)"
"06/12/2021","11:44:58.811","5274.637",""
"06/12/2021","11:45:11.833","","Close (1)"
"06/12/2021","12:45:11.833","","Close (1)"
"06/12/2021","13:45:11.834","","Close (1)"
"06/12/2021","14:45:11.835","","Close (1)"
"06/12/2021","15:45:11.836","","Close (1)"
"06/12/2021","16:45:11.837","","Close (1)"
"06/12/2021","17:45:11.838","","Close (1)"
"06/12/2021","18:45:11.839","","Close (1)"
"06/12/2021","19:45:11.840","","Close (1)"
"06/12/2021","20:45:11.841","","Close (1)"
"06/12/2021","21:45:11.842","","Close (1)"
"06/12/2021","22:45:11.842","","Close (1)"
"06/12/2021","23:44:58.812","5274.637",""
"06/12/2021","23:45:11.843","","Close (1)"
"06/13/2021","00:45:11.844","","Close (1)"
"06/13/2021","01:45:11.845","","Close (1)"
"06/13/2021","02:45:11.846","","Close (1)"
"06/13/2021","03:45:11.847","","Close (1)"
"06/13/2021","04:45:11.848","","Close (1)"
"06/13/2021","05:45:11.849","","Close (1)"
"06/13/2021","06:45:11.850","","Close (1)"
"06/13/2021","07:45:11.851","","Close (1)"
"06/13/2021","08:45:11.852","","Close (1)"
"06/13/2021","09:45:11.852","","Close (1)"
"06/13/2021","10:45:11.853","","Close (1)"
"06/13/2021","11:44:58.813","5274.637",""
"06/13/2021","11:45:11.854","","Close (1)"
"06/13/2021","12:45:11.855","","Close (1)"
"06/13/2021","13:45:11.856","","Close (1)"
"06/13/2021","14:45:11.857","","Close (1)"
"06/13/2021","15:45:11.858","","Close (1)"
"06/13/2021","16:45:11.859","","Close (1)"
"06/13/2021","17:45:11.860","","Close (1)"
"06/13/2021","18:45:11.861","","Close (1)"
"06/13/2021","19:45:11.862","","Close (1)"
"06/13/2021","20:45:11.862","","Close (1)"
"06/13/2021","21:45:11.863","","Close (1)"
"06/13/2021","22:45:11.864","","Close (1)"
"06/13/2021","23:19:15.914","","Unknown (0)"
"06/13/2021","23:44:58.813","5274.637",""
"06/14/2021","00:19:15.915","","Unknown (0)"
"06/14/2021","01:19:15.916","","Unknown (0)"
"06/14/2021","02:19:15.917","","Unknown (0)"
"06/14/2021","03:19:15.918","","Unknown (0)"
"06/14/2021","04:19:15.919","","Unknown (0)"
"06/14/2021","05:19:15.920","","Unknown (0)"
"06/14/2021","06:19:15.921","","Unknown (0)"
"06/14/2021","06:32:07.175","","Close (1)"
"06/14/2021","07:32:07.176","","Close (1)"
"06/14/2021","08:32:07.176","","Close (1)"
"06/14/2021","09:16:33.575","-1",""
"06/14/2021","09:16:57.154","5274.637",""
"06/14/2021","09:32:07.177","","Close (1)"
"06/14/2021","10:20:43.426","","Unknown (0)"
"06/14/2021","10:20:43.636","","Open (2)"
"06/14/2021","10:23:18.050","2605.004",""
"06/14/2021","10:26:37.567","3352.767",""
"06/14/2021","10:26:37.673","4263.839",""
"06/14/2021","10:26:37.775","5274.637",""
"06/14/2021","10:26:38.284","6720.537",""
