"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]"
"","Subsystem:","Cryo Parameters"
"","Component:","Cryo Temperatures"
"","Parameter:","Holder Temperature"
"","Unit:","K"
"","Type:","Float"
"Date:","Time:"
"06/13/2021","20:38:09.380","80.01"
"06/13/2021","20:39:39.829","80.12"
"06/13/2021","20:41:00.218","80.23"
"06/13/2021","20:42:20.609","80.34"
"06/13/2021","20:43:37.652","80.45"
"06/13/2021","20:45:01.398","80.56"
"06/13/2021","20:46:45.239","80.67"
"06/13/2021","20:51:56.759","80.57"
"06/13/2021","20:53:10.453","80.46"
"06/13/2021","20:54:27.494","80.35"
"06/13/2021","20:55:47.887","80.24"
"06/13/2021","20:57:28.377","80.13"
"06/13/2021","21:00:12.516","80.02"
"06/13/2021","21:10:22.174","79.91"
"06/13/2021","23:00:52.435","80.01"
"06/13/2021","23:01:25.936","80.13"
"06/13/2021","23:01:46.027","80.27"
"06/13/2021","23:01:59.427","80.37"
"06/13/2021","23:02:12.827","80.49"
"06/13/2021","23:02:26.229","80.63"
"06/13/2021","23:02:39.623","80.78"
"06/13/2021","23:02:53.023","80.94"
"06/13/2021","23:03:06.422","81.12"
"06/13/2021","23:03:19.822","81.3"
"06/13/2021","23:03:33.224","81.49"
"06/13/2021","23:03:39.919","81.59"
"06/13/2021","23:03:46.618","81.7"
"06/13/2021","23:04:00.017","81.9"
"06/13/2021","23:04:06.717","82.02"
"06/13/2021","23:04:13.416","82.13"
"06/13/2021","23:04:20.117","82.24"
"06/13/2021","23:04:26.815","82.36"
"06/13/2021","23:04:33.516","82.47"
"06/13/2021","23:04:40.214","82.6"
"06/13/2021","23:04:46.914","82.72"
"06/13/2021","23:04:53.612","82.84"
"06/13/2021","23:05:00.312","82.97"
"06/13/2021","23:05:07.016","83.09"
"06/13/2021","23:05:13.712","83.23"
"06/13/2021","23:05:20.411","83.36"
"06/13/2021","23:05:27.110","83.48"
"06/13/2021","23:05:33.811","83.63"
"06/13/2021","23:05:40.511","83.76"
"06/13/2021","23:05:47.208","83.9"
"06/13/2021","23:05:53.911","84.03"
"06/13/2021","23:06:00.608","84.17"
"06/13/2021","23:06:07.308","84.32"
"06/13/2021","23:06:14.006","84.45"
"06/13/2021","23:06:20.706","84.6"
"06/13/2021","23:06:27.405","84.75"
"06/13/2021","23:06:34.105","84.94"
"06/13/2021","23:06:40.804","85.21"
"06/13/2021","23:06:47.503","85.53"
"06/13/2021","23:06:54.203","85.94"
"06/13/2021","23:07:00.902","86.37"
"06/13/2021","23:07:07.602","86.85"
"06/13/2021","23:07:14.301","87.4"
"06/13/2021","23:07:21.000","87.93"
"06/13/2021","23:07:27.702","88.53"
"06/13/2021","23:07:34.401","89.1"
"06/13/2021","23:07:41.100","89.69"
"06/13/2021","23:07:47.799","90.34"
"06/13/2021","23:07:54.498","90.94"
"06/13/2021","23:08:01.198","91.6"
"06/13/2021","23:08:07.897","92.21"
"06/13/2021","23:08:14.596","92.83"
"06/13/2021","23:08:21.296","93.5"
"06/13/2021","23:08:27.996","94.12"
"06/13/2021","23:08:34.695","94.77"
"06/13/2021","23:08:41.394","95.39"
"06/13/2021","23:08:48.096","96"
"06/13/2021","23:08:54.792","96.66"
"06/13/2021","23:09:01.493","97.26"
"06/13/2021","23:09:08.192","97.92"
"06/13/2021","23:09:14.895","98.52"
"06/13/2021","23:09:21.591","99.13"
"06/13/2021","23:09:28.291","99.78"
"06/13/2021","23:09:34.991","100.39"
"06/13/2021","23:09:41.689","101.02"
"06/13/2021","23:09:48.389","101.61"
"06/13/2021","23:09:55.088","102.19"
"06/13/2021","23:10:01.791","102.81"
"06/13/2021","23:10:08.487","103.39"
"06/13/2021","23:10:15.186","103.97"
"06/13/2021","23:10:21.886","104.59"
"06/13/2021","23:10:28.585","105.15"
"06/13/2021","23:10:35.283","105.77"
"06/13/2021","23:10:41.984","106.33"
"06/13/2021","23:10:48.683","106.89"
"06/13/2021","23:10:55.383","107.49"
"06/13/2021","23:11:02.081","108.04"
"06/13/2021","23:11:08.780","108.64"
"06/13/2021","23:11:15.481","109.18"
"06/13/2021","23:11:22.182","109.72"
"06/13/2021","23:11:28.882","110.3"
"06/13/2021","23:11:35.580","110.83"
"06/13/2021","23:11:42.280","111.4"
"06/13/2021","23:11:48.980","111.93"
"06/13/2021","23:11:55.683","112.45"
"06/13/2021","23:12:02.380","113.01"
"06/13/2021","23:12:09.078","113.53"
"06/13/2021","23:12:15.777","114.09"
"06/13/2021","23:12:22.480","114.6"
"06/13/2021","23:12:29.177","115.12"
"06/13/2021","23:12:35.880","115.66"
"06/13/2021","23:12:42.577","116.17"
"06/13/2021","23:12:49.276","116.71"
"06/13/2021","23:12:55.977","117.21"
"06/13/2021","23:13:02.681","117.71"
"06/13/2021","23:13:09.375","118.24"
"06/13/2021","23:13:16.075","118.72"
"06/13/2021","23:13:22.775","119.24"
"06/13/2021","23:13:29.477","119.72"
"06/13/2021","23:13:36.174","120.19"
"06/13/2021","23:13:42.874","120.7"
"06/13/2021","23:13:49.573","121.16"
"06/13/2021","23:13:56.272","121.66"
"06/13/2021","23:14:02.971","122.13"
"06/13/2021","23:14:09.671","122.58"
"06/13/2021","23:14:16.371","123.08"
"06/13/2021","23:14:23.070","123.52"
"06/13/2021","23:14:29.770","124.01"
"06/13/2021","23:14:36.472","124.45"
"06/13/2021","23:14:43.168","124.89"
"06/13/2021","23:14:49.869","125.36"
"06/13/2021","23:14:56.565","125.79"
"06/13/2021","23:15:03.269","126.25"
"06/13/2021","23:15:09.966","126.68"
"06/13/2021","23:15:16.666","127.1"
"06/13/2021","23:15:23.364","127.55"
"06/13/2021","23:15:30.063","127.96"
"06/13/2021","23:15:36.763","128.36"
"06/13/2021","23:15:43.462","128.79"
"06/13/2021","23:15:50.161","129.19"
"06/13/2021","23:15:56.862","129.61"
"06/13/2021","23:16:03.561","130"
"06/13/2021","23:16:10.261","130.38"
"06/13/2021","23:16:16.960","130.79"
"06/13/2021","23:16:23.659","131.16"
"06/13/2021","23:16:30.360","131.56"
"06/13/2021","23:16:37.059","131.93"
"06/13/2021","23:16:43.761","132.28"
"06/13/2021","23:16:50.458","132.67"
"06/13/2021","23:16:57.157","133.02"
"06/13/2021","23:17:03.857","133.4"
"06/13/2021","23:17:10.556","133.74"
"06/13/2021","23:17:17.255","134.07"
"06/13/2021","23:17:23.956","134.43"
"06/13/2021","23:17:30.656","134.76"
"06/13/2021","23:17:37.356","135.1"
"06/13/2021","23:17:44.056","135.42"
"06/13/2021","23:17:50.755","135.73"
"06/13/2021","23:17:57.455","136.06"
